Date,Open,High,Low,Close,Adj Close,Volume,Categorical_Variable
10/10/2019,227.929993,230.440002,227.300003,230.089996,228.858124,28253400,5
10/11/2019,232.949997,237.639999,232.309998,236.210007,234.945358,41698900,1
10/14/2019,234.899994,238.130005,234.669998,235.869995,234.607178,24106900,2
10/15/2019,236.389999,237.649994,234.880005,235.320007,234.060135,21840000,3
10/16/2019,233.369995,235.240005,233.199997,234.369995,233.115204,18475800,4
10/17/2019,235.089996,236.149994,233.520004,235.279999,234.02034,16896300,5
10/18/2019,234.589996,237.580002,234.289993,236.410004,235.144302,24358400,1
10/21/2019,237.520004,240.990005,237.320007,240.509995,239.222336,21811800,2
10/22/2019,241.160004,242.199997,239.619995,239.960007,238.675293,20573400,3
10/23/2019,242.100006,243.240005,241.220001,243.179993,241.878036,18957200,4
10/24/2019,244.509995,244.800003,241.809998,243.580002,242.275894,17318800,5
10/25/2019,243.160004,246.729996,242.880005,246.580002,245.259842,18369300,1
10/28/2019,247.419998,249.25,246.720001,249.050003,247.716614,24143200,2
10/29/2019,248.970001,249.75,242.570007,243.289993,241.987442,35709900,3
10/30/2019,244.759995,245.300003,241.210007,243.259995,241.957611,31130500,4
10/31/2019,247.240005,249.169998,237.259995,248.759995,247.428162,34790500,5
11/1/2019,249.539993,255.929993,249.160004,255.820007,254.450378,37781300,1
11/4/2019,257.329987,257.850006,255.380005,257.5,256.121368,25818000,2
11/5/2019,257.049988,258.190002,256.320007,257.130005,255.753372,19974400,3
11/6/2019,256.769989,257.48999,255.369995,257.23999,255.862762,18966100,4
11/7/2019,258.73999,260.350006,258.109985,259.429993,258.815735,23735100,5
11/8/2019,258.690002,260.440002,256.850006,260.140015,259.524078,17496600,1
11/11/2019,258.299988,262.470001,258.279999,262.200012,261.579193,20455300,2
11/12/2019,261.549988,262.790009,260.920013,261.959991,261.339752,21847200,3
11/13/2019,261.130005,264.779999,261.070007,264.470001,263.843811,25683600,4
11/14/2019,263.75,264.880005,262.100006,262.640015,262.018158,22295700,5
11/15/2019,263.679993,265.779999,263.01001,265.76001,265.130768,25051600,1
11/18/2019,265.799988,267.429993,264.230011,267.100006,266.46759,21675800,2
11/19/2019,267.899994,268,265.390015,266.290009,265.659515,19041800,3
11/20/2019,265.540009,266.079987,260.399994,263.190002,262.566864,26558600,4
11/21/2019,263.690002,264.01001,261.179993,262.01001,261.389648,30348800,5
11/22/2019,262.589996,263.179993,260.839996,261.779999,261.160187,16331300,1
11/25/2019,262.709991,266.440002,262.519989,266.369995,265.739319,21005100,2
11/26/2019,266.940002,267.160004,262.5,264.290009,263.664246,26301900,3
11/27/2019,265.579987,267.980011,265.309998,267.839996,267.205841,16308900,4
11/29/2019,266.600006,268,265.899994,267.25,266.617249,11654400,5
12/2/2019,267.269989,268.25,263.450012,264.160004,263.534546,23621800,1
12/3/2019,258.309998,259.529999,256.290009,259.450012,258.835724,28607600,2
12/4/2019,261.070007,263.309998,260.679993,261.73999,261.12027,16795400,3
